path	node_id	zone_id	zone_label	status	classes	functions	lines	bytes	sha256
src/mechanist/CombatRuntimeFramework.java	M_src_mechanist_CombatRuntimeFramework_java	UI_RENDER	UI Render Surfaces	positioned	8	18	196	10334	1a8e0d658a7bb9d7fcbf2dc0b19e7aed0a54989365e70d66d86e9c8b2c6b4366
src/mechanist/ConstructionGovernanceAuthority.java	M_src_mechanist_ConstructionGovernanceAuthority_java	WORLD_GEN	World Generation Transition	positioned	6	18	300	19027	9c2a30183e1da8d58f48fc1041b8405ef137fcbaaf996b66446ad59085da2fa8
src/mechanist/ConstructionPlacementFeedbackAuthority.java	M_src_mechanist_ConstructionPlacementFeedbackAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	11	97	3826	ba9e29331cf97868fea1cc261937a784789ec2078a109a68534f8f912ceb7cd0
src/mechanist/ConstructionValidationInspectionAuthority.java	M_src_mechanist_ConstructionValidationInspectionAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	5	68	3748	c44eeceb079ef7c83dfc5396f0bc0af5fe731cb51bfacab8edbe3d9f18bef143
src/mechanist/ContainerTradeFramework.java	M_src_mechanist_ContainerTradeFramework_java	UI_RENDER	UI Render Surfaces	positioned	9	92	802	69293	64779ca7bcaf40496fedd23a064c7e8c403b89e2e7e48214dc194de84ea82320
src/mechanist/ContinuousGridMovementFramework.java	M_src_mechanist_ContinuousGridMovementFramework_java	UI_RENDER	UI Render Surfaces	positioned	9	38	387	15749	fc9c60dda9b2f33a08aca05cf409d1e44f1e9063d6a3c7b3e4b125075416f1fe
src/mechanist/ControlReferenceTextSubsystem.java	M_src_mechanist_ControlReferenceTextSubsystem_java	UI_RENDER	UI Render Surfaces	positioned	1	12	192	9295	404f4eb5eadf1151adeb322359636f63a8bbfd2b8d319d27c8f83ae76ecdf291
src/mechanist/CrashDeobfuscatorEngine.java	M_src_mechanist_CrashDeobfuscatorEngine_java	UI_INPUT	UI Input Navigation	positioned	2	14	155	7374	0ac334e946fe44d7080bba083adb4d06f82e02fe99ef0b26c27fefb4af442a11
src/mechanist/DebugLog.java	M_src_mechanist_DebugLog_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	19	115	4794	95dc0c2a9804a1d84c6128d8327857aed072ae576456b4b7e943895556b6d377
src/mechanist/DefenseBuildSelectionAuthority.java	M_src_mechanist_DefenseBuildSelectionAuthority_java	UI_RENDER	UI Render Surfaces	positioned	1	4	65	3272	819bf43807878104b26ddb3999559457c080b48cb13330dd57cd20707b157798
src/mechanist/DefenseSemanticIntegration.java	M_src_mechanist_DefenseSemanticIntegration_java	UI_RENDER	UI Render Surfaces	positioned	4	14	223	16131	3c92c3b805c936935c8c3ce86bae8aedcad98fdca6d9855d07738d429c1cbd3e
src/mechanist/DisplayDensityAuthority.java	M_src_mechanist_DisplayDensityAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	12	132	6835	c3b0b75f43809c07e1e26467ccdeb78ef79fa29f16ff8692328a23b97efd4f7a
src/mechanist/DisplayScaleOptionsSubsystem.java	M_src_mechanist_DisplayScaleOptionsSubsystem_java	UI_RENDER	UI Render Surfaces	positioned	1	9	80	4030	952e140ec8408a5cea72e75fadc8ec0738bb8f0ebf78014a88d25b9bc91fa73e
src/mechanist/DomesticHabFixtureAuthority.java	M_src_mechanist_DomesticHabFixtureAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	17	227	16578	45aac7a962867b07248d4e00d3d0d35b993058523c12a18ab8c726631fedff9b
src/mechanist/DoomRuntimeOptionsSubsystem.java	M_src_mechanist_DoomRuntimeOptionsSubsystem_java	UI_RENDER	UI Render Surfaces	positioned	1	5	55	2187	e04180f7bd50b4722b566a41d0721ab2b3dff8f3777495a3ccd4fb00c790be82
src/mechanist/DoorType.java	M_src_mechanist_DoorType_java	UI_RENDER	UI Render Surfaces	positioned	2	3	44	3330	2f6415edd5b69172923e9caaebe4ca213052b7c246706dbace6e338a8383269d
src/mechanist/EcclesiarchyTempleApi.java	M_src_mechanist_EcclesiarchyTempleApi_java	RUNTIME_OPTIONS	Runtime Options	positioned	1	5	55	2828	b65efc3b13825600197a68a7b35563043da17a0ba58b2e0b966d63ab07b20633
src/mechanist/EconomicGenerationBiasAuthority.java	M_src_mechanist_EconomicGenerationBiasAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	18	247	17074	86b55b021a80e574d97eafebf5b65d245fd13f5ebd40df9c1372645744e8bd76
src/mechanist/EconomicLocalTopologyMetadataSurfaceAuthority.java	M_src_mechanist_EconomicLocalTopologyMetadataSurfaceAuthority_java	UI_RENDER	UI Render Surfaces	positioned	3	21	323	20417	67075f0bd5aa90235735b1cb07e540b56a8b1b7f462d3aa22282896d786b3036
src/mechanist/EconomicTopologyFramework.java	M_src_mechanist_EconomicTopologyFramework_java	UI_RENDER	UI Render Surfaces	positioned	8	28	452	34137	91e803f8adda41f3733f76a050ce8cfdec25cc08393014f38610ef3c2e47ddbb
src/mechanist/EconomicTopologyMapIntelBridgeAuthority.java	M_src_mechanist_EconomicTopologyMapIntelBridgeAuthority_java	UI_RENDER	UI Render Surfaces	positioned	3	19	224	12200	66efc77c36c11132899c4811f1f2ab8454d1dd77cf738cabc4e01693069fa799
src/mechanist/EconomicTopologyPreviewConsumerAuthority.java	M_src_mechanist_EconomicTopologyPreviewConsumerAuthority_java	UI_RENDER	UI Render Surfaces	positioned	2	24	256	16434	773128aa7ada27749f738444e2e6716b156d4d8a0c7ff474e54a8592d6ff8026
src/mechanist/EconomicTopologyReportingOverlayAuthority.java	M_src_mechanist_EconomicTopologyReportingOverlayAuthority_java	UI_RENDER	UI Render Surfaces	positioned	3	19	290	17342	1322bc284f2f66130589f8a13274991f26575c6766afc6b097126adb6617a7c0
src/mechanist/EditorEventBus.java	M_src_mechanist_EditorEventBus_java	UI_INPUT	UI Input Navigation	positioned	8	1	48	2463	4e09e9c5c75154d71ff9c434ab3195630760233c209c208b4ed4ae964ded3645
src/mechanist/EditorUndoRedoController.java	M_src_mechanist_EditorUndoRedoController_java	UI_INPUT	UI Input Navigation	positioned	5	11	117	5190	83891f79d8d74b2ac8eacec49a4019d268266ebed25aeaacfc158e0623090b58
src/mechanist/EngineHotLauncher.java	M_src_mechanist_EngineHotLauncher_java	UI_RENDER	UI Render Surfaces	positioned	7	8	167	8916	288c6d859193ad48d92f2fd51621562b7b60971c7c3a5cb20baa3daf6735eb6c
src/mechanist/EntityInterpolationBuffer.java	M_src_mechanist_EntityInterpolationBuffer_java	UI_RENDER	UI Render Surfaces	positioned	6	22	131	6643	cdffb3f703091c98156a941fca853bdf9fe4d267722a71f692e62d65421fd6be
